Title,Author,Average Rating,Number of Ratings,Score,Links
Paper Towns,John Green,3.72,1261460,177626,https://www.goodreads.com/book/book/show/6442769-paper-towns
Coraline,Neil Gaiman,4.1,630386,177361,https://www.goodreads.com/book/book/show/17061.Coraline
"The Angel Experiment (Maximum Ride, #1)",James Patterson,4.07,220108,174281,https://www.goodreads.com/book/book/show/13152.The_Angel_Experiment
The Catcher in the Rye,J.D. Salinger,3.81,3319507,170483,https://www.goodreads.com/book/book/show/5107.The_Catcher_in_the_Rye
"Marked (House of Night, #1)",P.C. Cast,3.81,477632,170233,https://www.goodreads.com/book/book/show/30183.Marked
The Phantom Tollbooth,Norton Juster,4.19,275969,168564,https://www.goodreads.com/book/book/show/378.The_Phantom_Tollbooth
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,867462,165463,https://www.goodreads.com/book/book/show/36381037-cinder
"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.77,369554,162472,https://www.goodreads.com/book/book/show/50.Hatchet
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,470360,159272,https://www.goodreads.com/book/book/show/6068551-shiver
The Princess Bride,William Goldman,4.26,870901,151063,https://www.goodreads.com/book/book/show/21787.The_Princess_Bride
The Westing Game,Ellen Raskin,4.01,200880,147758,https://www.goodreads.com/book/book/show/902.The_Westing_Game
"The Selection (The Selection, #1)",Kiera Cass,4.09,1410074,144925,https://www.goodreads.com/book/book/show/10507293-the-selection
Just Listen,Sarah Dessen,4.05,244515,144597,https://www.goodreads.com/book/book/show/51738.Just_Listen
A Little Princess,Frances Hodgson Burnett,4.22,297340,143262,https://www.goodreads.com/book/book/show/3008.A_Little_Princess
"Are You There God? It's Me, Margaret",Judy Blume,3.93,214013,140846,https://www.goodreads.com/book/book/show/37732.Are_You_There_God_It_s_Me_Margaret
Where the Red Fern Grows,Wilson Rawls,4.1,388862,138360,https://www.goodreads.com/book/book/show/10365.Where_the_Red_Fern_Grows
"Fallen (Fallen, #1)",Lauren Kate,3.72,565751,138150,https://www.goodreads.com/book/book/show/6487308-fallen
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,307267,137300,https://www.goodreads.com/book/book/show/6294.Howl_s_Moving_Castle
"Matched (Matched, #1)",Ally Condie,3.63,750089,135336,https://www.goodreads.com/book/book/show/7735333-matched
The Truth About Forever,Sarah Dessen,4.12,220119,134776,https://www.goodreads.com/book/book/show/51737.The_Truth_About_Forever
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.84,186178,132370,https://www.goodreads.com/book/book/show/852470.I_d_Tell_You_I_Love_You_But_Then_I_d_Have_to_Kill_You
"Princess Academy (Princess Academy, #1)",Shannon Hale,4.03,113703,130146,https://www.goodreads.com/book/book/show/85990.Princess_Academy
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.79,219635,130095,https://www.goodreads.com/book/book/show/3682.A_Great_and_Terrible_Beauty
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1413523,129418,https://www.goodreads.com/book/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"Delirium (Delirium, #1)",Lauren Oliver,3.96,457073,128339,https://www.goodreads.com/book/book/show/11614718-delirium
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,585331,128233,https://www.goodreads.com/book/book/show/6304335-beautiful-creatures
Because of Winn-Dixie,Kate DiCamillo,4.08,244412,120381,https://www.goodreads.com/book/book/show/357664.Because_of_Winn_Dixie
Black Beauty,Anna Sewell,3.98,268261,112878,https://www.goodreads.com/book/book/show/3685.Black_Beauty
"Legend (Legend, #1)",Marie Lu,4.16,503912,112849,https://www.goodreads.com/book/book/show/9275658-legend
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,191083,112477,https://www.goodreads.com/book/book/show/19302.Pippi_Longstocking
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,126677,112206,https://www.goodreads.com/book/book/show/13831.Alanna
"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.13,140968,109137,https://www.goodreads.com/book/book/show/179064.The_Goose_Girl
"Watership Down (Watership Down, #1)",Richard  Adams,4.08,467803,108288,https://www.goodreads.com/book/book/show/76620.Watership_Down
"Sabriel (Abhorsen,  #1)",Garth Nix,4.16,202113,103064,https://www.goodreads.com/book/book/show/518848.Sabriel
Where the Sidewalk Ends,Shel Silverstein,4.33,1337439,103047,https://www.goodreads.com/book/book/show/30119.Where_the_Sidewalk_Ends
The Graveyard Book,Neil Gaiman,4.15,512408,100160,https://www.goodreads.com/book/book/show/2213661.The_Graveyard_Book
Walk Two Moons,Sharon Creech,3.99,163988,99491,https://www.goodreads.com/book/book/show/53496.Walk_Two_Moons
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,205563,98760,https://www.goodreads.com/book/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler
Go Ask Alice,Beatrice Sparks,3.75,265684,98555,https://www.goodreads.com/book/book/show/46799.Go_Ask_Alice
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.12,157472,94132,https://www.goodreads.com/book/book/show/44652.Fablehaven
Flipped,Wendelin Van Draanen,3.98,112523,93166,https://www.goodreads.com/book/book/show/331920.Flipped
"The Summoning (Darkest Powers, #1)",Kelley Armstrong,4.02,168563,91945,https://www.goodreads.com/book/book/show/2800905-the-summoning
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.07,259177,87081,https://www.goodreads.com/book/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian
The Lovely Bones,Alice Sebold,3.84,2269378,84987,https://www.goodreads.com/book/book/show/12232938-the-lovely-bones
"Evermore (The Immortals, #1)",Alyson Noel,3.59,284835,84400,https://www.goodreads.com/book/book/show/3975774-evermore
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.99,121589,83864,https://www.goodreads.com/book/book/show/227651.Among_the_Hidden
"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,4.16,174546,81890,https://www.goodreads.com/book/book/show/9822.Mrs_Frisby_and_the_Rats_of_NIMH
The Witch of Blackbird Pond,Elizabeth George Speare,4.01,147673,80928,https://www.goodreads.com/book/book/show/703292.The_Witch_of_Blackbird_Pond
"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,3.8,249484,80532,https://www.goodreads.com/book/book/show/38980.The_Princess_Diaries
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.62,926,71701,https://www.goodreads.com/book/book/show/60288648-the-chain-between-worlds
This Lullaby,Sarah Dessen,4.02,177184,69521,https://www.goodreads.com/book/book/show/22205.This_Lullaby
"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,4.08,89438,65264,https://www.goodreads.com/book/book/show/13376.The_House_of_the_Scorpion
